Entry ID,Entry JP Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str
47,ラ・コロナシオン,6,Neutral,242,0b0010,"",X,"",0,Damage,3,Single EC,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x3380e4,96,"バルア帝国の紋章である龍の化身が上空に現われ、
敵単体に突っ込んで叩き潰す。　　　　　消費Ｇ＝16"
48,ハデにやろうぜ,6,Neutral,250,0b0010,"",X,"",0,Damage,43,EC Triangle 60°,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338144,96,"敵単体に向かって、ハデに二丁拳銃を撃ち続ける。
あまりの連射に周辺の敵も巻き込まれる。消費Ｇ＝９"
49,俺がギルダーだ！,6,Neutral,252,0b0010,"",X,"",0,Damage,4,All ECs,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x3381a4,96,"クラウディアの全砲門を開き、敵全体に向かって
弾数を気にせずに一斉射撃をする。　　　消費Ｇ＝18"
50,リヴェンジ,6,Neutral,301,0b0010,"",X,"",38,Counter% to 100% + Guard,5,Self,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338204,96,"１ターンの間、敵からの攻撃に全神経を集中し、
防御をしつつも確実に反撃を返す。　　　消費Ｇ＝１"
51,スカルシールド,6,Neutral,303,0b0010,"",X,"",46,Counter% to 100% + Block Attack,2,All PCs,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338264,100,"１ターンの間、スカル船長が敵の通常攻撃を無効化。
かつ確実に反撃を返す。仲間全員に効果。消費Ｇ＝５"
52,デルタシールド,6,Neutral,311,0b0010,"",X,"",39,Block Magic,2,All PCs,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x3382c8,100,"１ターンの間、仲間全員にЖ術無効化バリアを展開。
ただし味方のЖ術も受けつけなくなる。　消費Ｇ＝２"
53,ユプシロンミラー,6,Neutral,313,0b0010,"",X,"",77,Recover MP + Invulnerable,5,Self,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x33832c,100,"１ターンの間、鏡のようなオーラで自分を包み込み、
精神統一でＫＰを10ポイント回復する。　消費Ｇ＝10"
54,月の恵み,6,Neutral,320,0b0010,"",X,"",33,Regenerate,2,All PCs,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338390,96,"銀の月の恵みで仲間全員が「滋養」の状態になり、
ＨＰが毎ターン一定量だけ回復する。　　消費Ｇ＝12"
55,月の浄化,6,Neutral,322,0b0010,"",X,"",30,Rem Neg States B,2,All PCs,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x3383f0,96,"仲間全員の体に月の光を浸透させ、「失神」を除く
すべての不利な状態を確実に治癒する。　消費Ｇ＝６"
56,月の大いなるЖき,6,Neutral,324,0b0010,"",X,"",47,Recover HP & MP + Rem Neg States,2,All PCs,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338450,96,"仲間全員の「失神」を含むすべての不利な状態を
確実に治癒し、ＨＰも完全回復する。　　消費Ｇ＝18"
57,怒！,6,Neutral,331,0b0010,"",X,"",41,Recover SP by 200% + Guard,5,Self,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x3384b0,96,"ケタ外れの気合でガッツを通常の２倍ため、さらに
すべての攻撃のダメージが半減する。　　消費Ｇ＝０"
58,エスクード,6,Neutral,341,0b0010,"",X,"",1,Guard,2,All PCs,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338510,100,"１ターンの間、仲間全員に防御効果のバリアを展開。
すべての攻撃のダメージが半減する。　　消費Ｇ＝４"
59,効かねえなあ,6,Neutral,351,0b0010,"",X,"",42,Block Neg States,2,All PCs,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338574,100,"１ターンの間、仲間全員に不利な状態を受けつけない
バリアを展開。有利な状態は受けつける。消費Ｇ＝３"
60,クルークルー,6,Neutral,-1,0b0010,"",X,"",66,Crew Special B,6,All PCs & ECs,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x3385d8,96,"デルフィナスのクルー全員を呼び出すという大技。
クルーの人数、個性で技の効果も変わる。消費Ｇ＝全"
61,バッカニアーズ,6,Neutral,-1,0b0010,"",X,"",65,Crew Special A,4,All ECs,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x338638,100,"仲間４人がすべてのガッツを合わせた時に発動する。
月をも落とす、究極の全体攻撃技だ。　　消費Ｇ＝全"
