Entry ID,Entry JP Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 1,Trait Value,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,JP Order 1,JP Order 2,Pad 6,[JP Descr Pos],[JP Descr Size],JP Descr Str
418,３尺副砲,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,280,87,3,6,-1,None,0,0,0,0,4690,0,0,50,18,18,0,0x33b4a4,80,ヤフトマーで製造された副砲。タケと呼ばれる\n植物の形をヒントに開発されたという。
419,５尺副砲,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,330,90,2,6,-1,None,0,0,0,0,5110,0,0,50,19,19,0,0x33b4f4,88,ヤフトマー軍の軍船にもとりつけられている副砲。\n射程範囲は小さいがそのぶん威力は大きい。
420,スワロー魚雷,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,120,60,2,3,-1,None,0,0,0,0,1520,0,0,50,20,20,0,0x33b54c,88,小型艦でも装てんすることが可能な軽量の魚雷。\n発射後しばらくして相手の頭上に飛来する。
421,カープス魚雷,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,120,70,2,2,-1,None,0,0,0,0,1760,0,0,50,21,21,0,0x33b5a4,72,リトルジャックが装備できる魚雷。\n一般の他の魚雷にくらべ、命中率が高い。
422,バッファロー魚雷,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,160,55,2,3,-1,None,0,0,0,0,2000,0,0,50,22,22,0,0x33b5ec,72,リトルジャックが装備できる魚雷。\n発射後、上空から猛烈な勢いで飛来する。
423,ホーク魚雷,0b00110000,X,X,"","","",2,Torpedo,0,Green,160,60,3,3,-1,None,0,0,0,0,2240,0,0,50,23,23,0,0x33b634,80,リトルジャックが装備できる魚雷。\n通常の魚雷より射程範囲が大きく、遠くまで届く。
424,イーグル魚雷,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,220,60,2,3,-1,None,0,0,0,0,2400,0,0,50,24,24,0,0x33b684,88,アルマダでは昔から広く用いられている魚雷。\nバルア＝ナスル戦役時にはナスル軍を苦しめた。
425,タイガー魚雷,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,250,50,3,4,-1,None,0,0,0,0,4400,0,0,50,25,25,0,0x33b6dc,84,威力は主砲にまさるとも劣らない大型の魚雷。\nただし、命中率は他の魚雷よりもやや低い。
426,大蛇の魚雷,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,300,65,2,4,-1,None,0,0,0,0,5360,0,0,50,26,26,0,0x33b730,80,ヘビのように敵艦に食らいついていく中型魚雷。\n射程範囲は狭いが、威力は大きい。
427,ジャイアント魚雷,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,350,70,3,5,-1,None,0,0,0,0,6320,0,0,50,27,27,0,0x33b780,92,小型ながら通常のものより火薬量を倍増させた魚雷。\n飛距離が長く、射程範囲は広い。威力も十分。
428,ホエール魚雷,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,400,70,3,6,-1,None,0,0,0,0,6800,0,0,50,28,28,0,0x33b7dc,64,射程範囲は広く、破壊力もある魚雷。\nそのぶん消費ガッツ量が多い。
429,ドラゴン魚雷,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,450,60,2,7,-1,None,0,0,0,0,8800,0,0,50,29,29,0,0x33b81c,84,射程範囲よりも破壊力を追求した魚雷。\nうまく命中させれば大きなダメージが期待できる。
430,ラムキャノン,0b00100000,X,"","","","",3,Special,6,Neutral,350,65535,0,15,-1,None,0,0,0,0,0,0,0,0,30,30,0,0x33b870,92,艦首の衝角を発射する、リトルジャックの必殺砲。\n対モービス戦のためにドラクマが装着したもの。
431,月Ж砲,0b00001110,"","",X,X,X,3,Special,6,Neutral,800,65535,0,20,-1,None,0,0,0,0,0,0,0,0,31,31,0,0x33b8cc,88,月Жエネルギーを集中させ、一気に収束発射する\nデルフィナスの必殺砲。絶大な威力を誇る。
432,ジェドキャノン,0b00111110,X,X,X,X,X,0,Main Cannon,6,Neutral,500,99,0,9,-1,None,0,0,0,0,1000,0,0,100,32,32,0,0x33b924,60,火薬に加え、月Ж石のエネルギーを使って\n砲弾を発射する主砲。
433,ジェドーガン,0b00111110,X,X,X,X,X,1,Sec Cannon,6,Neutral,400,99,3,5,-1,None,0,0,0,0,1000,0,0,100,33,33,0,0x33b960,88,月Ж石のエネルギーを使うことによって、威力を\n保ちながらも消費ガッツ量をおさえた副砲。
434,ジェドトゥーピド,0b00111110,X,X,X,X,X,2,Torpedo,6,Neutral,600,75,3,3,-1,None,0,0,0,0,1000,0,0,100,34,34,0,0x33b9b8,68,月Ж石のエネルギーを使うことによって\n消費ガッツ量をおさえた魚雷。
435,バーンキャノン,0b00001110,"","",X,X,X,0,Main Cannon,1,Red,200,120,0,6,-1,None,0,0,0,0,13200,0,0,50,35,35,0,0x33b9fc,60,戦艦型船舶むけの旋回主砲。\n赤の属性を持ち、命中率が高い。
436,ウェブガン,0b00001110,"","",X,X,X,1,Sec Cannon,3,Blue,180,120,3,4,-1,None,0,0,0,0,10200,0,0,50,36,36,0,0x33ba38,56,戦艦型船舶むけの副砲。\n青の属性を持ち、命中率が高い。
437,ボルト魚雷,0b00001110,"","",X,X,X,2,Torpedo,4,Yellow,500,50,3,2,-1,None,0,0,0,0,1000,0,0,50,37,37,0,0x33ba70,52,戦艦型船舶むけの魚雷。\n黄の属性を持ち、威力が高い。
438,ロックキャノン,0b00001110,"","",X,X,X,0,Main Cannon,2,Purple,550,60,0,4,-1,None,0,0,0,0,1000,0,0,50,38,38,0,0x33baa4,80,特殊な鋼材を用いた主砲で、耐久性をあげている。\n紫の属性を持ち、威力が大きい。
439,ストレングガン,0b00110000,X,X,"","","",1,Sec Cannon,3,Blue,50,99,2,5,-1,None,0,0,0,0,1000,0,0,50,39,39,0,0x33baf4,80,発射時の衝撃を押さえるタワーバーを内蔵している。\n青の属性を持ち、命中率が高い。
